Year;F14C;F14C.sigma;D14C;D14C.sigma;PMC
1450.5;1.0064756069471;0.0016;1.4;1.6;100.64756069471
1455.5;1.00857074642234;0.0016;3.5;1.6;100.857074642234
1460.5;1.01066588589759;0.0016;5.6;1.6;101.066588589759
1465.5;1.01176333990843;0.0016;6.7;1.6;101.176333990843
1470.5;1.01086542299047;0.0018;5.8;1.8;101.086542299047
1475.5;1.01016704316539;0.0016;5.1;1.6;101.016704316539
1480.5;1.01026681171183;0.0018;5.2;1.8;101.026681171183
1485.5;1.01066588589759;0.0016;5.6;1.6;101.066588589759
1490.5;1.01026681171183;0.0016;5.2;1.6;101.026681171183
1495.5;1.01006727461895;0.0016;5;1.6;101.006727461895
1500.5;1.01096519153691;0.0018;5.9;1.8;101.096519153691
1505.5;1.01226218264063;0.0016;7.2;1.6;101.226218264063
1510.5;1.01345940519791;0.0016;8.4;1.6;101.345940519791
1515.5;1.01425755356943;0.0016;9.2;1.6;101.425755356943
1520.5;1.01415778502299;0.0018;9.1;1.8;101.415778502299
1525.5;1.01365894229079;0.0016;8.6;1.6;101.365894229079
1530.5;1.01316009955859;0.0018;8.1;1.8;101.316009955859
1535.5;1.01246171973351;0.0016;7.4;1.6;101.246171973351
1540.5;1.01136426572267;0.0018;6.3;1.8;101.136426572267
1545.5;1.01016704316539;0.0016;5.1;1.6;101.016704316539
1550.5;1.00887005206167;0.0017;3.8;1.7;100.887005206167
1555.5;1.00807190369014;0.0016;3;1.6;100.807190369014
1560.5;1.00777259805082;0.0016;2.7;1.6;100.777259805082
1565.5;1.0074732924115;0.0016;2.4;1.6;100.74732924115
1570.5;1.00677491258642;0.0016;1.7;1.6;100.677491258642
1575.5;1.00577722712202;0.0016;0.7;1.6;100.577722712202
1580.5;1.00467977311118;0.0017;-0.4;1.7;100.467977311118
1585.5;1.00338278200746;0.0016;-1.7;1.6;100.338278200746
1590.5;1.00158694817153;0.0017;-3.5;1.7;100.158694817153
1595.5;0.99989088288205;0.0016;-5.2;1.6;99.989088288205
1600.5;0.998194817592567;0.0017;-6.9;1.7;99.8194817592567
1605.5;0.997296900674606;0.0017;-7.8;1.7;99.7296900674606
1610.5;0.997496437767486;0.0017;-7.6;1.7;99.7496437767486
1615.5;0.998294586139008;0.0016;-6.8;1.6;99.8294586139008
1620.5;0.99959157724273;0.0016;-5.5;1.6;99.959157724273
1625.5;1.00098833689289;0.0015;-4.1;1.5;100.098833689289
1630.5;1.00218555945017;0.0016;-2.9;1.6;100.218555945017
1635.5;1.00308347636814;0.0015;-2;1.5;100.308347636814
1640.5;1.00378185619322;0.0016;-1.3;1.6;100.378185619322
1645.5;1.00458000456474;0.0015;-0.5;1.5;100.458000456474
1650.5;1.00637583840066;0.0016;1.3;1.6;100.637583840066
1655.5;1.00777259805082;0.0015;2.7;1.5;100.777259805082
1660.5;1.00817167223658;0.0015;3.1;1.5;100.817167223658
1665.5;1.00896982060811;0.0014;3.9;1.4;100.896982060811
1670.5;1.01086542299047;0.0015;5.8;1.5;101.086542299047
1675.5;1.01256148827995;0.0011;7.5;1.1;101.256148827995
1680.5;1.01435732211587;0.0011;9.3;1.1;101.435732211587
1685.5;1.0146566277552;0.0011;9.6;1.1;101.46566277552
